Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE
GAZ_00003958	geo_loc_name (country)	Northern Mariana Islands														
GAZ_00002699	geo_loc_name (country)	Norway														
GAZ_00005283	geo_loc_name (country)	Oman														
GAZ_00005246	geo_loc_name (country)	Pakistan													PAKISTAN	
GAZ_00006905	geo_loc_name (country)	Palau														
GAZ_00002892	geo_loc_name (country)	Panama														
GAZ_00003922	geo_loc_name (country)	Papua New Guinea														
GAZ_00010832	geo_loc_name (country)	Paracel Islands														
GAZ_00002933	geo_loc_name (country)	Paraguay														
GAZ_00002932	geo_loc_name (country)	Peru														
GAZ_00004525	geo_loc_name (country)	Philippines													PHILIPPINE	
GAZ_00005867	geo_loc_name (country)	Pitcairn Islands														
GAZ_00002939	geo_loc_name (country)	Poland														
GAZ_00004126	geo_loc_name (country)	Portugal														
GAZ_00006935	geo_loc_name (country)	Puerto Rico														
GAZ_00005286	geo_loc_name (country)	Qatar														
GAZ_00001088	geo_loc_name (country)	Republic of the Congo														
GAZ_00003945	geo_loc_name (country)	Reunion														
GAZ_00002951	geo_loc_name (country)	Romania														
GAZ_00023304	geo_loc_name (country)	Ross Sea														
GAZ_00002721	geo_loc_name (country)	Russia														
GAZ_00001087	geo_loc_name (country)	Rwanda														
GAZ_00000849	geo_loc_name (country)	Saint Helena														
GAZ_00006906	geo_loc_name (country)	Saint Kitts and Nevis														
GAZ_00006909	geo_loc_name (country)	Saint Lucia														
GAZ_00003942	geo_loc_name (country)	Saint Pierre and Miquelon														
GAZ_00005841	geo_loc_name (country)	Saint Martin														
GAZ_02000565	geo_loc_name (country)	Saint Vincent and the Grenadines														
GAZ_00006910	geo_loc_name (country)	Samoa														
GAZ_00003102	geo_loc_name (country)	San Marino														
GAZ_00006927	geo_loc_name (country)	Sao Tome and Principe														
GAZ_00005279	geo_loc_name (country)	Saudi Arabia														
GAZ_00000913	geo_loc_name (country)	Senegal														
GAZ_00002957	geo_loc_name (country)	Serbia														
GAZ_00006922	geo_loc_name (country)	Seychelles														
GAZ_00000914	geo_loc_name (country)	Sierra Leone														
GAZ_00003923	geo_loc_name (country)	Singapore														
GAZ_00012579	geo_loc_name (country)	Sint Maarten														
GAZ_00002956	geo_loc_name (country)	Slovakia														
GAZ_00002955	geo_loc_name (country)	Slovenia														
GAZ_00005275	geo_loc_name (country)	Solomon Islands														
GAZ_00001104	geo_loc_name (country)	Somalia														
GAZ_00001094	geo_loc_name (country)	South Africa														
GAZ_00003990	geo_loc_name (country)	South Georgia and the South Sandwich Islands														
GAZ_00002802	geo_loc_name (country)	South Korea														
GAZ_00233439	geo_loc_name (country)	South Sudan														
GAZ_00003936	geo_loc_name (country)	Spain														
GAZ_00010831	geo_loc_name (country)	Spratly Islands														
GAZ_00003924	geo_loc_name (country)	Sri Lanka														
GAZ_00002475	geo_loc_name (country)	State of Palestine														
GAZ_00000560	geo_loc_name (country)	Sudan														
GAZ_00002525	geo_loc_name (country)	Suriname														
GAZ_00005396	geo_loc_name (country)	Svalbard														
GAZ_00001099	geo_loc_name (country)	Swaziland														
GAZ_00002729	geo_loc_name (country)	Sweden														
GAZ_00002941	geo_loc_name (country)	Switzerland														
GAZ_00002474	geo_loc_name (country)	Syria														
GAZ_00005341	geo_loc_name (country)	Taiwan														
GAZ_00006912	geo_loc_name (country)	Tajikistan														
GAZ_00001103	geo_loc_name (country)	Tanzania														
GAZ_00003744	geo_loc_name (country)	Thailand														
GAZ_00006913	geo_loc_name (country)	Timor-Leste														
GAZ_00000915	geo_loc_name (country)	Togo														
GAZ_00260188	geo_loc_name (country)	Tokelau														
GAZ_00006916	geo_loc_name (country)	Tonga														
GAZ_00003767	geo_loc_name (country)	Trinidad and Tobago														
GAZ_00005812	geo_loc_name (country)	Tromelin Island														
GAZ_00000562	geo_loc_name (country)	Tunisia														
GAZ_00000558	geo_loc_name (country)	Turkey														
GAZ_00005018	geo_loc_name (country)	Turkmenistan														
GAZ_00003955	geo_loc_name (country)	Turks and Caicos Islands														
GAZ_00009715	geo_loc_name (country)	Tuvalu														
GAZ_00002459	geo_loc_name (country)	United States of America													US	
GAZ_00001102	geo_loc_name (country)	Uganda														
GAZ_00002724	geo_loc_name (country)	Ukraine														
GAZ_00005282	geo_loc_name (country)	United Arab Emirates														
GAZ_00002637	geo_loc_name (country)	United Kingdom													UNITEDKING	
GAZ_00002930	geo_loc_name (country)	Uruguay													URUGUAY	
GAZ_00004979	geo_loc_name (country)	Uzbekistan														
GAZ_00006918	geo_loc_name (country)	Vanuatu														
GAZ_00002931	geo_loc_name (country)	Venezuela														
GAZ_00003756	geo_loc_name (country)	Viet Nam														
GAZ_00003959	geo_loc_name (country)	Virgin Islands														
GAZ_00007111	geo_loc_name (country)	Wake Island														
GAZ_00007191	geo_loc_name (country)	Wallis and Futuna														
GAZ_00009572	geo_loc_name (country)	West Bank														
GAZ_00000564	geo_loc_name (country)	Western Sahara														
GAZ_00005284	geo_loc_name (country)	Yemen														
GAZ_00001107	geo_loc_name (country)	Zambia														
GAZ_00001106	geo_loc_name (country)	Zimbabwe														
																
																
